RepliconName	RepliconAccession	Start	Stop	Strand	GeneID	Locus	LocusTag	ProteinProduct	Length	COGs	ProteinName
chr	NC_012967.1	911698	912831	+	8175680	potG	ECB_00860	YP_003044078.1	377	-	putrescine transporter ATP-binding subunit
chr	NC_012967.1	912841	913794	+	8178408	potH	ECB_00861	YP_003044079.1	317	-	putrescine transporter subunit membrane component of ABC superfamily
chr	NC_012967.1	913791	914636	+	8175681	potI	ECB_00862	YP_003044080.1	281	-	putrescine transporter subunit membrane component of ABC superfamily
chr	NC_012967.1	914696	915184	+	8178962	ybjO	ECB_00863	YP_003044081.1	162	-	putative inner membrane protein
chr	NC_012967.1	915225	916352	+	8175682	rumB	ECB_00864	YP_003044082.1	375	-	23S rRNA methyluridine methyltransferase
chr	NC_012967.1	916551	917282	-	8175683	artJ	ECB_00865	YP_003044083.1	243	-	arginine transporter subunit
chr	NC_012967.1	917573	918241	-	8175684	artM	ECB_00866	YP_003044084.1	222	-	arginine transporter permease ArtM
chr	NC_012967.1	918241	918957	-	8175685	artQ	ECB_00867	YP_003044085.1	238	-	arginine transporter permease ArtQ
chr	NC_012967.1	918964	919695	-	8178963	artI	ECB_00868	YP_003044086.1	243	-	arginine transporter subunit
chr	NC_012967.1	919713	920441	-	8178964	artP	ECB_00869	YP_003044087.1	242	-	arginine transporter ATP-binding subunit
chr	NC_012967.1	920659	921174	-	8175686	ybjP	ECB_00870	YP_003044088.1	171	-	putative lipoprotein
chr	NC_012967.1	921300	921623	+	8178965	ybjQ	ECB_00871	YP_003044089.1	107	-	hypothetical protein ECB_00871
chr	NC_012967.1	921620	922450	+	8175687	ybjR	ECB_00872	YP_003044090.1	276	-	putative amidase and lipoprotein
chr	NC_012967.1	922447	923460	-	8175688	ybjS	ECB_00873	YP_003044091.1	337	-	putative NAD(P)H-binding oxidoreductase with NAD(P)-binding Rossmann-fold domain
chr	NC_012967.1	923559	924989	-	8175689	ybjT	ECB_00874	YP_003044092.1	476	-	hypothetical protein ECB_00874
chr	NC_012967.1	925000	926001	-	8175690	ltaE	ECB_00875	YP_003044093.1	333	-	L-threonine aldolase
chr	NC_012967.1	926038	927756	-	8178966	poxB	ECB_00876	YP_003044094.1	572	-	pyruvate dehydrogenase
chr	NC_012967.1	927889	928857	-	8175691	hcr	ECB_00877	YP_003044095.1	322	-	HCP oxidoreductase, NADH-dependent
chr	NC_012967.1	928869	930521	-	8175692	hcp	ECB_00878	YP_003044096.1	550	-	hydroxylamine reductase
chr	NC_012967.1	930665	931564	-	8175693	ybjE	ECB_00879	YP_003044097.1	299	-	putative transporter
chr	NC_012967.1	932059	932754	-	8178409	aqpZ	ECB_00880	YP_003044098.1	231	-	aquaporin Z
chr	NC_012967.1	933179	934837	+	8178410	ybjD	ECB_00881	YP_003044099.1	552	-	hypothetical protein ECB_00881
chr	NC_012967.1	934834	935826	-	8175694	ybjX	ECB_00882	YP_003044100.1	330	-	hypothetical protein ECB_00882
chr	NC_012967.1	935941	937056	+	8175695	macA	ECB_00883	YP_003044101.1	371	-	macrolide transporter subunit MacA
chr	NC_012967.1	937053	938999	+	8175696	macB	ECB_00884	YP_003044102.1	648	-	macrolide transporter ATP-binding /permease
chr	NC_012967.1	939072	939296	-	8175697	cspD	ECB_00885	YP_003044103.1	74	-	stationary phase/starvation inducible regulatory protein CspD
chr	NC_012967.1	939619	939939	+	8178967	clpS	ECB_00886	YP_003044104.1	106	-	ATP-dependent Clp protease adaptor protein ClpS
chr	NC_012967.1	940113	942245	+	8175698	clpA	ECB_00887	YP_003044105.1	710	-	ATPase and specificity subunit of ClpA-ClpP ATP-dependent serine protease, chaperone activity
chr	NC_012967.1	943283	943501	-	8175700	infA	ECB_00888	YP_003044106.1	72	-	translation initiation factor IF-1
chr	NC_012967.1	943786	944490	-	8178411	aat	ECB_00889	YP_003044107.1	234	-	leucyl/phenylalanyl-tRNA--protein transferase
chr	NC_012967.1	944532	946253	-	8178968	cydC	ECB_00890	YP_003044108.1	573	-	cysteine/glutathione ABC transporter membrane/ATP-binding protein
chr	NC_012967.1	946254	948020	-	8175701	cydD	ECB_00891	YP_003044109.1	588	-	cysteine/glutathione ABC transporter membrane/ATP-binding protein
chr	NC_012967.1	948143	949108	-	8175702	trxB	ECB_00892	YP_003044110.1	321	-	thioredoxin reductase
chr	NC_012967.1	949653	950147	+	8175703	lrp	ECB_00893	YP_003044111.1	164	-	leucine-responsive transcriptional regulator
chr	NC_012967.1	950282	954310	+	8175704	ftsK	ECB_00894	YP_003044112.1	1342	-	DNA translocase FtsK
chr	NC_012967.1	954462	955076	+	8175705	lolA	ECB_00895	YP_003044113.1	204	-	outer-membrane lipoprotein carrier protein
chr	NC_012967.1	955087	956430	+	8175706	ycaJ	ECB_00896	YP_003044114.1	447	-	recombination factor protein RarA
chr	NC_012967.1	956521	957813	+	8175707	serS	ECB_00897	YP_003044115.1	430	-	seryl-tRNA synthetase
chr	NC_012967.1	958052	960496	+	8175708	dmsA	ECB_00898	YP_003044116.1	814	-	dimethyl sulfoxide reductase, anaerobic, subunit A
chr	NC_012967.1	960507	961124	+	8178412	dmsB	ECB_00899	YP_003044117.1	205	-	dimethyl sulfoxide reductase, anaerobic, subunit B
chr	NC_012967.1	961126	961989	+	8178413	dmsC	ECB_00900	YP_003044118.1	287	-	dimethyl sulfoxide reductase, anaerobic, subunit C
chr	NC_012967.1	962024	962650	-	8175709	ycaC	ECB_00901	YP_003044119.1	208	-	putative hydrolase
chr	NC_012967.1	962964	964112	+	8175710	ycaD	ECB_00902	YP_003044120.1	382	-	putative MFS family transporter protein
chr	NC_012967.1	964322	965752	+	8175711	ycaM	ECB_00903	YP_003044121.1	476	-	putative transporter
chr	NC_012967.1	965753	966661	-	8175712	ycaN	ECB_00904	YP_003044122.1	302	-	putative DNA-binding transcriptional regulator
chr	NC_012967.1	966761	967351	+	8175713	ycaK	ECB_00905	YP_003044123.1	196	-	hypothetical protein ECB_00905
chr	NC_012967.1	967433	968173	-	8175714	pflA	ECB_00906	YP_003044124.1	246	-	pyruvate formate lyase-activating enzyme 1
chr	NC_012967.1	968365	970647	-	8178414	pflB	ECB_00907	YP_003044125.1	760	-	pyruvate formate lyase I
chr	NC_012967.1	970702	971559	-	8178415	focA	ECB_00908	YP_003044126.1	285	-	formate transporter
chr	NC_012967.1	971964	973724	-	8175715	ycaO	ECB_00909	YP_003044127.1	586	-	hypothetical protein ECB_00909
chr	NC_012967.1	973854	974546	+	8178969	ycaP	ECB_00910	YP_003044128.1	230	-	inner membrane protein
chr	NC_012967.1	974745	975833	+	8175716	serC	ECB_00911	YP_003044129.1	362	-	phosphoserine aminotransferase
chr	NC_012967.1	975904	977187	+	8175717	aroA	ECB_00912	YP_003044130.1	427	-	3-phosphoshikimate 1-carboxyvinyltransferase
chr	NC_012967.1	977356	978120	+	8175718	ycaL	ECB_00913	YP_003044131.1	254	-	putative peptidase with chaperone function
chr	NC_012967.1	978293	978976	+	8175719	cmk	ECB_00914	YP_003044132.1	227	-	cytidylate kinase
chr	NC_012967.1	979087	980760	+	8178970	rpsA	ECB_00915	YP_003044133.1	557	-	30S ribosomal protein S1
chr	NC_012967.1	980920	981204	+	8175720	ihfB	ECB_00916	YP_003044134.1	94	-	integration host factor subunit beta
chr	NC_012967.1	981412	983676	+	8175721	ycaI	ECB_00917	YP_003044135.1	754	-	hypothetical protein ECB_00917
chr	NC_012967.1	983713	985461	+	8175722	msbA	ECB_00918	YP_003044136.1	582	-	lipid transporter ATP-binding/permease
chr	NC_012967.1	985458	986444	+	8178971	lpxK	ECB_00919	YP_003044137.1	328	-	tetraacyldisaccharide 4\'-kinase
chr	NC_012967.1	986481	987713	+	8175723	ycaQ	ECB_00920	YP_003044138.1	410	-	hypothetical protein ECB_00920
chr	NC_012967.1	987765	987947	+	8175724	ycaR	ECB_00921	YP_003044139.1	60	-	hypothetical protein ECB_00921
chr	NC_012967.1	987944	988690	+	8175725	kdsB	ECB_00922	YP_003044140.1	248	-	3-deoxy-manno-octulosonate cytidylyltransferase
chr	NC_012967.1	988844	989737	+	8175726	ycbJ	ECB_00923	YP_003044141.1	297	-	hypothetical protein ECB_00923
chr	NC_012967.1	989714	990493	-	8178416	ycbC	ECB_00924	YP_003044142.1	259	-	hypothetical protein ECB_00924
chr	NC_012967.1	990629	991414	+	8175727	smtA	ECB_00925	YP_003044143.1	261	-	putative metallothionein SmtA
chr	NC_012967.1	991411	992733	+	8175728	mukF	ECB_00926	YP_003044144.1	440	-	condesin subunit F
chr	NC_012967.1	992741	993418	+	8178417	mukE	ECB_00927	YP_003044145.1	225	-	condesin subunit E
chr	NC_012967.1	993418	997878	+	8175729	mukB	ECB_00928	YP_003044146.1	1486	-	cell division protein MukB
chr	NC_012967.1	998139	999986	+	8178972	ycbB	ECB_00929	YP_003044147.1	615	-	hypothetical protein ECB_00929
chr	NC_012967.1	1000167	1000715	+	8175730	ycbK	ECB_00930	YP_003044148.1	182	-	hypothetical protein ECB_00930
chr	NC_012967.1	1000742	1001389	+	8175731	ycbL	ECB_00931	YP_003044149.1	215	-	putative metal-binding enzyme
chr	NC_012967.1	1001611	1002801	-	8175732	aspC	ECB_00932	YP_003044150.1	396	-	aromatic amino acid aminotransferase
chr	NC_012967.1	1002986	1004074	-	8175733	ompF	ECB_00933	YP_003044151.1	362	-	outer membrane protein F
chr	NC_012967.1	1004676	1006076	-	8178418	asnC	ECB_00934	YP_003044152.1	466	-	asparaginyl-tRNA synthetase
chr	NC_012967.1	1006245	1007447	-	8175734	pncB	ECB_00935	YP_003044153.1	400	-	nicotinate phosphoribosyltransferase
chr	NC_012967.1	1007713	1010325	+	8178419	pepN	ECB_00936	YP_003044154.1	870	-	aminopeptidase N
chr	NC_012967.1	1010368	1011135	-	8175735	ssuB	ECB_00937	YP_003044155.1	255	-	aliphatic sulfonates transport ATP-binding subunit
chr	NC_012967.1	1011132	1011923	-	8175736	ssuC	ECB_00938	YP_003044156.1	263	-	alkanesulfonate transporter permease
chr	NC_012967.1	1011934	1013079	-	8178420	ssuD	ECB_00939	YP_003044157.1	381	-	alkanesulfonate monooxygenase
chr	NC_012967.1	1013076	1014035	-	8175737	ssuA	ECB_00940	YP_003044158.1	319	-	alkanesulfonate transporter substrate-binding subunit
chr	NC_012967.1	1014028	1014603	-	8175738	ssuE	ECB_00941	YP_003044159.1	191	-	NAD(P)H-dependent FMN reductase
chr	NC_012967.1	1014959	1015498	+	8175739	ycbQ	ECB_00942	YP_003044160.1	179	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	1015581	1016282	+	8175740	ycbR	ECB_00943	YP_003044161.1	233	-	putative periplasmic pilin chaperone
chr	NC_012967.1	1016307	1018907	+	8175741	ycbS	ECB_00944	YP_003044162.1	866	-	putative outer membrane usher protein
chr	NC_012967.1	1018898	1019968	+	8178421	ycbT	ECB_00945	YP_003044163.1	356	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	1019980	1020522	+	8175742	ycbU	ECB_00946	YP_003044164.1	180	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	1020530	1021045	+	8175743	ycbV	ECB_00947	YP_003044165.1	171	-	putative fimbrial-like adhesin protein
chr	NC_012967.1	1021038	1021748	+	8175744	ycbF	ECB_00948	YP_003044166.1	236	-	putativi pili assembly chaperone
chr	NC_012967.1	1021859	1022869	+	8175745	pyrD	ECB_00949	YP_003044167.1	336	-	dihydroorotate dehydrogenase 2
chr	NC_012967.1	1023043	1023585	+	8178422	ycbW	ECB_00950	YP_003044168.1	180	-	hypothetical protein ECB_00950
chr	NC_012967.1	1023582	1024691	-	8175746	ycbX	ECB_00951	YP_003044169.1	369	-	putative 2Fe-2S cluster-containing protein
chr	NC_012967.1	1024935	1027043	+	8175747	rlmL	ECB_00952	YP_003044170.1	702	-	23S rRNA m(2)G2445 methyltransferase
chr	NC_012967.1	1027055	1028962	+	8175748	uup	ECB_00953	YP_003044171.1	635	-	ABC transporter ATPase component
chr	NC_012967.1	1029092	1030345	+	8175749	pqiA	ECB_00954	YP_003044172.1	417	-	paraquat-inducible membrane protein A
chr	NC_012967.1	1030350	1031990	+	8178423	pqiB	ECB_00955	YP_003044173.1	546	-	paraquat-inducible protein B
chr	NC_012967.1	1032002	1032550	+	8175750	ymbA	ECB_00956	YP_003044174.1	182	-	hypothetical protein ECB_00956
chr	NC_012967.1	1032806	1032973	+	8175751	rmf	ECB_00957	YP_003044175.1	55	-	ribosome modulation factor
chr	NC_012967.1	1033043	1033561	-	8175752	fabA	ECB_00958	YP_003044176.1	172	-	3-hydroxydecanoyl-(acyl carrier protein) dehydratase
chr	NC_012967.1	1033630	1035390	-	8175753	ycbZ	ECB_00959	YP_003044177.1	586	-	putative peptidase
chr	NC_012967.1	1035576	1036028	+	8175754	ycbG	ECB_00960	YP_003044178.1	150	-	hypothetical protein ECB_00960
chr	NC_012967.1	1036104	1037144	-	8175755	ompA	ECB_00961	YP_003044179.1	346	-	outer membrane protein A
chr	NC_012967.1	1037501	1038010	-	8178424	sulA	ECB_00962	YP_003044180.1	169	-	SOS cell division inhibitor
chr	NC_012967.1	1038229	1038858	+	8175756	yccR	ECB_00963	YP_003044181.1	209	-	hypothetical protein ECB_00963
chr	NC_012967.1	1038821	1040974	-	8175757	yccS	ECB_00964	YP_003044182.1	717	-	putative inner membrane protein
chr	NC_012967.1	1040993	1041439	-	8175758	yccF	ECB_00965	YP_003044183.1	148	-	hypothetical protein ECB_00965
chr	NC_012967.1	1041562	1043616	+	8175759	helD	ECB_00966	YP_003044184.1	684	-	DNA helicase IV
chr	NC_012967.1	1043648	1044106	-	8178425	mgsA	ECB_00967	YP_003044185.1	152	-	methylglyoxal synthase
chr	NC_012967.1	1044202	1044864	-	8175760	yccT	ECB_00968	YP_003044186.1	220	-	hypothetical protein ECB_00968
chr	NC_012967.1	1045037	1045450	+	8175761	yccU	ECB_00969	YP_003044187.1	137	-	putative CoA-binding protein with NAD(P)-binding Rossmann-fold domain
chr	NC_012967.1	1045495	1045812	-	8175762	yccV	ECB_00970	YP_003044188.1	105	-	heat shock protein HspQ
chr	NC_012967.1	1045870	1046973	-	8175763	yccW	ECB_00971	YP_003044189.1	367	-	putative methyltransferase
chr	NC_012967.1	1047155	1047433	+	8178973	yccX	ECB_00972	YP_003044190.1	92	-	acylphosphatase
chr	NC_012967.1	1047430	1047759	-	8175764	yccK	ECB_00973	YP_003044191.1	109	-	sulfur transfer protein TusE
chr	NC_012967.1	1047850	1048509	-	8175765	yccA	ECB_00974	YP_003044192.1	219	-	hypothetical protein ECB_00974
chr	NC_012967.1	1049230	1050348	+	8175766	hyaA	ECB_00975	YP_003044193.1	372	-	hydrogenase 1, small subunit
chr	NC_012967.1	1050345	1052138	+	8175767	hyaB	ECB_00976	YP_003044194.1	597	-	hydrogenase 1 large subunit
chr	NC_012967.1	1052157	1052864	+	8175768	hyaC	ECB_00977	YP_003044195.1	235	-	hydrogenase 1 b-type cytochrome subunit
chr	NC_012967.1	1052861	1053448	+	8175769	hyaD	ECB_00978	YP_003044196.1	195	-	hydrogenase 1 maturation protease
chr	NC_012967.1	1053445	1053843	+	8178975	hyaE	ECB_00979	YP_003044197.1	132	-	hydrogenase-1 operon protein HyaE
chr	NC_012967.1	1053840	1054697	+	8175770	hyaF	ECB_00980	YP_003044198.1	285	-	HyaF
chr	NC_012967.1	1054831	1056375	+	8175771	appC	ECB_00981	YP_003044199.1	514	-	cytochrome bd-II oxidase, subunit I
chr	NC_012967.1	1056387	1057523	+	8178976	appB	ECB_00982	YP_003044200.1	378	-	cytochrome bd-II oxidase, subunit II
chr	NC_012967.1	1057708	1059006	+	8175772	appA	ECB_00983	YP_003044201.1	432	-	phosphoanhydride phosphorylase
chr	NC_012967.1	1059121	1061301	-	8178977	yccC	ECB_00984	YP_003044202.1	726	-	cryptic autophosphorylating protein tyrosine kinase Etk
chr	NC_012967.1	1061321	1061767	-	8175773	etp	ECB_00985	YP_003044203.1	148	-	phosphotyrosine-protein phosphatase
chr	NC_012967.1	1061755	1062894	-	8175774	yccZ	ECB_00986	YP_003044204.1	379	-	putative exopolysaccharide export protein
chr	NC_012967.1	1062940	1065036	-	8175775	ymcA	ECB_00987	YP_003044205.1	698	-	hypothetical protein ECB_00987
chr	NC_012967.1	1065036	1065782	-	8175776	ymcB	ECB_00988	YP_003044206.1	248	-	hypothetical protein ECB_00988
chr	NC_012967.1	1065779	1066423	-	8178426	ymcC	ECB_00989	YP_003044207.1	214	-	putative outer membrane lipoprotein
chr	NC_012967.1	1066530	1066835	-	8175777	ymcD	ECB_00990	YP_003044208.1	101	-	hypothetical protein ECB_00990
chr	NC_012967.1	1067254	1067466	-	8178978	cspH	ECB_00991	YP_003044209.1	70	-	stress protein, member of the CspA-family
chr	NC_012967.1	1067752	1067964	+	8175778	cspG	ECB_00992	YP_003044210.1	70	-	cold shock protein CspG
chr	NC_012967.1	1068138	1068368	+	8175779	sfa	ECB_00993	YP_003044211.1	76	-	cold shock gene
chr	NC_012967.1	1068358	1068531	+	8178979	gnsA	ECB_00994	YP_003044212.1	57	-	putative regulator of phosphatidylethanolamine synthesis
chr	NC_012967.1	1068579	1069652	-	8175780	yccM	ECB_00995	YP_003044213.1	357	-	putative 4Fe-4S membrane protein
chr	NC_012967.1	1069724	1072468	-	8178980	torS	ECB_00996	YP_003044214.1	914	-	hybrid sensory histidine kinase TorS
chr	NC_012967.1	1072551	1073579	+	8175781	torT	ECB_00997	YP_003044215.1	342	-	TMAO reductase system periplasmic protein TorT
chr	NC_012967.1	1073552	1074244	-	8175782	torR	ECB_00998	YP_003044216.1	230	-	DNA-binding transcriptional regulator TorR
chr	NC_012967.1	1074374	1075546	+	8175783	torC	ECB_00999	YP_003044217.1	390	-	trimethylamine N-oxide (TMAO) reductase I, cytochrome c-type subunit
chr	NC_012967.1	1075546	1078092	+	8175784	torA	ECB_01000	YP_003044218.1	848	-	trimethylamine N-oxide (TMAO) reductase I, catalytic subunit
chr	NC_012967.1	1078089	1078688	+	8178427	torD	ECB_01001	YP_003044219.1	199	-	chaperone protein TorD
chr	NC_012967.1	1078840	1079145	-	8175785	yccD	ECB_01002	YP_003044220.1	101	-	chaperone-modulator protein CbpM
chr	NC_012967.1	1079145	1080065	-	8175786	cbpA	ECB_01003	YP_003044221.1	306	-	curved DNA-binding protein CbpA
chr	NC_012967.1	1080326	1081585	+	8175787	yccE	ECB_01004	YP_003044222.1	419	-	hypothetical protein ECB_01004
chr	NC_012967.1	1081868	1083109	+	8175788	agp	ECB_01005	YP_003044223.1	413	-	glucose-1-phosphatase/inositol phosphatase
chr	NC_012967.1	1083147	1083374	-	8178981	yccJ	ECB_01006	YP_003044224.1	75	-	hypothetical protein ECB_01006
chr	NC_012967.1	1083395	1083991	-	8178982	wrbA	ECB_01007	YP_003044225.1	198	-	TrpR binding protein WrbA
chr	NC_012967.1	1084364	1084537	+	8175789	ymdF	ECB_01008	YP_003044226.1	57	-	hypothetical protein ECB_01008
chr	NC_012967.1	1084795	1086123	-	8175790	ycdG	ECB_01009	YP_003044227.1	442	-	putative transporter
chr	NC_012967.1	1086144	1086638	-	8175791	ycdH	ECB_01010	YP_003044228.1	164	-	putative oxidoreductase, flavin:NADH component
chr	NC_012967.1	1086649	1087239	-	8175792	ycdI	ECB_01011	YP_003044229.1	196	-	hypothetical protein ECB_01011
chr	NC_012967.1	1087249	1088049	-	8175793	ycdJ	ECB_01012	YP_003044230.1	266	-	putative hydrolase
chr	NC_012967.1	1088057	1088443	-	8175794	ycdK	ECB_01013	YP_003044231.1	128	-	hypothetical protein ECB_01013
chr	NC_012967.1	1088455	1089147	-	8175795	ycdL	ECB_01014	YP_003044232.1	230	-	hypothetical protein ECB_01014
chr	NC_012967.1	1089147	1090295	-	8178428	ycdM	ECB_01015	YP_003044233.1	382	-	putative monooxygenase
chr	NC_012967.1	1090526	1091164	+	8175796	ycdC	ECB_01016	YP_003044234.1	212	-	putative DNA-binding transcriptional regulator
chr	NC_012967.1	1091204	1095166	-	8175797	putA	ECB_01017	YP_003044235.1	1320	-	trifunctional transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase
chr	NC_012967.1	1095589	1097097	+	8178983	putP	ECB_01018	YP_003044236.1	502	-	proline:sodium symporter
chr	NC_012967.1	1097631	1098470	+	8178984	ycdN	ECB_01019	YP_003044237.1	279	-	hypothetical protein ECB_01019
chr	NC_012967.1	1098528	1099655	+	8175798	ycdO	ECB_01020	YP_003044238.1	375	-	hypothetical protein ECB_01020
chr	NC_012967.1	1099661	1100932	+	8175799	ycdB	ECB_01021	YP_003044239.1	423	-	hypothetical protein ECB_01021
chr	NC_012967.1	1101277	1102341	+	8175800	phoH	ECB_01022	YP_003044240.1	354	-	hypothetical protein ECB_01022
chr	NC_012967.1	1102391	1102804	-	8175801	pgaD	ECB_01023	YP_003044241.1	137	-	putative PGA biosynthesis protein
chr	NC_012967.1	1102806	1104131	-	8175802	ycdQ	ECB_01024	YP_003044242.1	441	-	N-glycosyltransferase
chr	NC_012967.1	1104124	1106142	-	8175803	pgaB	ECB_01025	YP_003044243.1	672	-	outer membrane N-deacetylase
chr	NC_012967.1	1106151	1108574	-	8175804	pgaA	ECB_01026	YP_003044244.1	807	-	outer membrane protein PgaA
chr	NC_012967.1	1109161	1110519	+	8178429	ycdT	ECB_01027	YP_003044245.1	452	-	putative diguanylate cyclase
chr	NC_012967.1	1110560	1111375	-	8175805	insF-1	ECB_01028	YP_003044246.1	271	-	putative transposase for IS3
chr	NC_012967.1	1111423	1111731	-	8175806	insE-1	ECB_01029	YP_003044247.1	102	-	putative transposase-related protein
chr	NC_012967.1	1112455	1113393	+	8175808	ycdW	ECB_01030	YP_003044248.1	312	-	2-ketoacid reductase
chr	NC_012967.1	1113448	1114185	+	8178430	ycdX	ECB_01031	YP_003044249.1	245	-	putative hydrolase
chr	NC_012967.1	1114209	1114763	+	8175809	ycdY	ECB_01032	YP_003044250.1	184	-	hypothetical protein ECB_01032
chr	NC_012967.1	1114865	1115356	+	8175810	ycdZ	ECB_01033	YP_003044251.1	163	-	putative inner membrane protein
chr	NC_012967.1	1115420	1116253	-	8175811	csgG	ECB_01034	YP_003044252.1	277	-	outer membrane lipoprotein
chr	NC_012967.1	1116280	1116696	-	8175812	csgF	ECB_01035	YP_003044253.1	138	-	curli assembly protein CsgF
chr	NC_012967.1	1116721	1117110	-	8175813	csgE	ECB_01036	YP_003044254.1	129	-	curli assembly protein CsgE
chr	NC_012967.1	1117115	1117765	-	8175814	csgD	ECB_01037	YP_003044255.1	216	-	DNA-binding transcriptional regulator CsgD
chr	NC_012967.1	1118520	1118975	+	8178431	csgB	ECB_01038	YP_003044256.1	151	-	curlin minor subunit
chr	NC_012967.1	1119016	1119471	+	8175815	csgA	ECB_01039	YP_003044257.1	151	-	cryptic curlin major subunit
chr	NC_012967.1	1119530	1119862	+	8175816	csgC	ECB_01040	YP_003044258.1	110	-	putative autoagglutination protein
chr	NC_012967.1	1119983	1120294	+	8175817	ymdA	ECB_01041	YP_003044259.1	103	-	hypothetical protein ECB_01041
chr	NC_012967.1	1120389	1120922	+	8175818	ymdB	ECB_01042	YP_003044260.1	177	-	hypothetical protein ECB_01042
chr	NC_012967.1	1120924	1122345	+	8178432	ymdC	ECB_01043	YP_003044261.1	473	-	putative hydrolase
chr	NC_012967.1	1122353	1123510	-	8178985	mdoC	ECB_01044	YP_003044262.1	385	-	glucans biosynthesis protein
chr	NC_012967.1	1123904	1125439	+	8175819	mdoG	ECB_01045	YP_003044263.1	511	-	glucan biosynthesis protein G
chr	NC_012967.1	1125432	1127975	+	8175820	mdoH	ECB_01046	YP_003044264.1	847	-	glucosyltransferase MdoH
chr	NC_012967.1	1128148	1128375	+	8175821	yceK	ECB_01047	YP_003044265.1	75	-	hypothetical protein ECB_01047
chr	NC_012967.1	1128376	1128750	-	8175822	msyB	ECB_01048	YP_003044266.1	124	-	hypothetical protein ECB_01048
chr	NC_012967.1	1128833	1130059	-	8178433	yceE	ECB_01049	YP_003044267.1	408	-	drug efflux system protein MdtG
chr	NC_012967.1	1130231	1131151	-	8178434	htrB	ECB_01050	YP_003044268.1	306	-	lipid A biosynthesis lauroyl acyltransferase
chr	NC_012967.1	1131376	1132428	+	8175823	yceA	ECB_01051	YP_003044269.1	350	-	hypothetical protein ECB_01051
chr	NC_012967.1	1132470	1133045	-	8175824	yceI	ECB_01052	YP_003044270.1	191	-	hypothetical protein ECB_01052
chr	NC_012967.1	1133049	1133615	-	8175825	yceJ	ECB_01053	YP_003044271.1	188	-	putative cytochrome b561
chr	NC_012967.1	1133876	1134016	-	8175826	yceO	ECB_01054	YP_003044272.1	46	-	hypothetical protein ECB_01054
chr	NC_012967.1	1134037	1135155	-	8178435	solA	ECB_01055	YP_003044273.1	372	-	N-methyltryptophan oxidase
chr	NC_012967.1	1135270	1135524	-	8178986	bssS	ECB_01056	YP_003044274.1	84	-	biofilm formation regulatory protein BssS
chr	NC_012967.1	1135814	1136059	-	8175827	dinI	ECB_01057	YP_003044275.1	81	-	DNA damage-inducible protein I
chr	NC_012967.1	1136133	1137179	-	8175828	pyrC	ECB_01058	YP_003044276.1	348	-	dihydroorotase
chr	NC_012967.1	1137285	1137845	-	8175829	yceB	ECB_01059	YP_003044277.1	186	-	hypothetical protein ECB_01059
chr	NC_012967.1	1137979	1138626	-	8175830	grxB	ECB_01060	YP_003044278.1	215	-	glutaredoxin 2
chr	NC_012967.1	1138690	1139898	-	8178987	yceL	ECB_01061	YP_003044279.1	402	-	multidrug resistance protein MdtH
chr	NC_012967.1	1140134	1140718	+	8178988	rimJ	ECB_01062	YP_003044280.1	194	-	ribosomal-protein-S5-alanine N-acetyltransferase
chr	NC_012967.1	1140729	1141376	+	8175831	yceH	ECB_01063	YP_003044281.1	215	-	hypothetical protein ECB_01063
chr	NC_012967.1	1141378	1142301	+	8175832	mviM	ECB_01064	YP_003044282.1	307	-	putative oxidoreductase with NAD(P)-binding Rossmann-fold domain
chr	NC_012967.1	1142411	1143946	+	8175833	mviN	ECB_01065	YP_003044283.1	511	-	putative inner membrane protein
chr	NC_012967.1	1143986	1144402	-	8175834	flgN	ECB_01066	YP_003044284.1	138	-	export chaperone for FlgK and FlgL
chr	NC_012967.1	1144407	1144700	-	8178436	flgM	ECB_01067	YP_003044285.1	97	-	anti-sigma28 factor FlgM
chr	NC_012967.1	1144776	1145435	-	8178989	flgA	ECB_01068	YP_003044286.1	219	-	flagellar basal body P-ring biosynthesis protein FlgA
chr	NC_012967.1	1145590	1146006	+	8175835	flgB	ECB_01069	YP_003044287.1	138	-	flagellar basal body rod protein FlgB
chr	NC_012967.1	1146010	1146414	+	8175836	flgC	ECB_01070	YP_003044288.1	134	-	flagellar basal body rod protein FlgC
chr	NC_012967.1	1146426	1147121	+	8175837	flgD	ECB_01071	YP_003044289.1	231	-	flagellar basal body rod modification protein
chr	NC_012967.1	1147146	1148351	+	8175838	flgE	ECB_01072	YP_003044290.1	401	-	flagellar hook protein FlgE
chr	NC_012967.1	1148371	1149126	+	8178990	flgF	ECB_01073	YP_003044291.1	251	-	flagellar basal body rod protein FlgF
chr	NC_012967.1	1149298	1150080	+	8175839	flgG	ECB_01074	YP_003044292.1	260	-	flagellar basal body rod protein FlgG
chr	NC_012967.1	1150133	1150831	+	8175840	flgH	ECB_01075	YP_003044293.1	232	-	flagellar basal body L-ring protein
chr	NC_012967.1	1150843	1151940	+	8175841	flgI	ECB_01076	YP_003044294.1	365	-	flagellar basal body P-ring protein
chr	NC_012967.1	1151940	1152881	+	8175842	flgJ	ECB_01077	YP_003044295.1	313	-	flagellar rod assembly protein/muramidase FlgJ
